id,release_date,revenue,runtime,title
1249,2006-08-31,1.6803753E7,126.0,Hollywoodland
1250,2007-02-16,2.28738393E8,114.0,Ghost Rider
1251,2006-12-19,6.8673228E7,141.0,Letters from Iwo Jima
1252,2006-04-30,0.0,108.0,Lonely Hearts
1254,2006-09-06,0.0,96.0,Don"t Worry_ I"m Fine
1260,2006-08-25,0.0,81.0,Lotte from Gadgetville
1262,2006-09-09,5.3653224E7,113.0,Stranger Than Fiction
1266,2008-04-10,6.5569869E7,109.0,Street Kings
1267,2007-03-23,1.69332978E8,95.0,Meet the Robinsons
1272,2007-04-05,3.2017803E7,107.0,Sunshine
1280,2004-10-15,0.0,88.0,3-Iron
1281,1997-07-03,2.5121267E8,85.0,Bean
1283,1998-03-13,0.0,97.0,Torrente_ the Dumb Arm of the Law
1284,2001-03-30,0.0,99.0,Torrente 2: Mission in Marbella
1361,1980-05-11,0.0,98.0,The Return of the King
1370,1988-05-24,1.89015611E8,102.0,Rambo III
1377,1958-11-19,0.0,110.0,Houseboat
1380,1989-01-13,2777280.0,109.0,Gleaming the Cube
1391,2001-06-08,3.3616692E7,106.0,Y Tu Mam찼 Tambi챕n
1393,2005-07-27,0.0,93.0,The Cave of the Yellow Dog
1394,1983-05-01,0.0,120.0,Nostalgia
1396,1975-03-07,0.0,106.0,Mirror
1407,2007-02-08,0.0,140.0,La Vie en Rose
1479,1993-09-05,0.0,79.0,Clean_ Shaven
1483,1990-04-30,0.0,78.0,Begotten
1484,1995-11-23,0.0,110.0,The Deathmaker
1485,1971-03-03,0.0,112.0,Get Carter
1544,2005-02-01,2455831.0,93.0,Imagine Me & You
1546,2005-01-23,1919197.0,96.0,Thumbsucker
1552,1989-07-31,1.2629783E8,124.0,Parenthood
1562,2007-04-26,6.423844E7,100.0,28 Weeks Later
1573,1990-07-02,2.40031094E8,124.0,Die Hard 2
1584,2003-10-03,1.31282949E8,108.0,School of Rock
1589,2003-09-12,0.0,91.0,The Boys from County Clare
1597,2000-10-06,3.30444045E8,108.0,Meet the Parents
1608,1996-03-01,0.0,95.0,When Saturday Comes
1610,1997-04-04,0.0,102.0,Fever Pitch
1615,2002-06-20,4508104.0,80.0,Erkan & Stefan 2
1616,2005-05-19,0.0,97.0,Erkan & Stefan 3
1635,2005-07-20,1.62949164E8,136.0,The Island
1644,1993-02-05,0.0,109.0,The Vanishing
1645,1996-07-24,1.52266007E8,149.0,A Time to Kill
1649,1991-07-19,0.0,98.0,Bill & Ted"s Bogus Journey
1653,2004-02-06,1.6756372E7,126.0,The Motorcycle Diaries
1673,1960-03-01,0.0,73.0,Comanche Station
1676,1967-12-19,0.0,110.0,Will Penny
1680,1962-08-11,0.0,98.0,King Kong vs. Godzilla
1682,1964-04-29,0.0,89.0,Mothra vs. Godzilla
1689,1993-12-01,4858139.0,140.0,Little Buddha
1694,1985-10-18,2023414.0,86.0,Re-Animator
1717,2006-09-10,9450897.0,125.0,All the King"s Men
1722,2001-08-17,6.2112895E7,131.0,Captain Corelli"s Mandolin
1729,2008-04-18,1.27906624E8,104.0,The Forbidden Kingdom
1735,2008-07-01,4.01128639E8,112.0,The Mummy: Tomb of the Dragon Emperor
1777,2004-06-25,1.19114517E8,122.0,Fahrenheit 9/11
1779,1989-09-01,6706368.0,91.0,Roger & Me
1792,2003-12-10,3.3828318E7,118.0,Stuck on You
1807,2003-05-18,1.0012022E7,81.0,Elephant
1810,1952-02-07,0.0,113.0,Viva Zapata!
1816,1985-12-10,1.4202899E7,113.0,A Chorus Line
1831,2000-03-03,2.4362772E7,108.0,The Next Best Thing
1834,1944-12-09,0.0,95.0,Murder_ My Sweet
1836,2002-12-04,0.0,93.0,In My Skin
1845,2007-02-09,1.9776159E7,96.0,2 Days in Paris
1859,1939-10-06,2279000.0,110.0,Ninotchka
1882,1950-07-20,0.0,85.0,The Men
1883,1992-11-18,4.8169908E7,202.0,Malcolm X
1895,2005-05-17,8.5E8,140.0,Star Wars: Episode III - Revenge of the Sith
1904,2005-12-06,1.62242962E8,145.0,Memoirs of a Geisha
1909,1994-10-01,2.22E7,97.0,Don Juan DeMarco
1912,2007-09-11,0.0,129.0,Reclaim Your Brain
1914,2006-04-26,0.0,95.0,FC Venus
1917,2003-12-24,0.0,126.0,Who Killed Bambi?
1921,2001-02-16,6.5754228E7,119.0,Sweet November
1945,1994-12-23,1.06683817E8,112.0,Nell
